State,abbrev,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,AL,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Alaska,AK,No Law,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Arizona,AZ,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Arkansas,AR,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
California,CA,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Colorado,CO,No Law,No Law,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Connecticut,CT,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Legal,Legal,Legal,Legal,Legal,,,Legal
Delaware,DE,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,Legal
Florida,FL,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Georgia,GA,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
Hawaii,HI,No Law,No Law,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,Legal
Idaho,ID,No Law,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,Constitutional Ban,,,Legal
